model_name,model_file,valid_predictions_count,invalid_predictions_count,total_recipes,MAE,accuracy_percent,recipe_type,reasoning_level,failed_recipes
gpt_5_5__reasoning_high,gpt_5_5__reasoning_high.jsonl,5,0,5,0.015000000000000003,20.0,desserts,high,
gpt_5_5__reasoning_high,gpt_5_5__reasoning_high.jsonl,5,0,5,0.06599999999999999,0.0,snacks,high,
gpt_5_5__reasoning_low,gpt_5_5__reasoning_low.jsonl,11,0,11,0.10090909090909092,9.090909090909092,anytime_meals,low,
gpt_5_5__reasoning_low,gpt_5_5__reasoning_low.jsonl,5,0,5,0.029999999999999992,0.0,breakfast,low,
gpt_5_5__reasoning_low,gpt_5_5__reasoning_low.jsonl,5,0,5,0.010600000000000002,20.0,desserts,low,
gpt_5_5__reasoning_low,gpt_5_5__reasoning_low.jsonl,5,0,5,0.066,0.0,snacks,low,
gpt_5_5__reasoning_medium,gpt_5_5__reasoning_medium.jsonl,10,1,11,0.11399999999999999,10.0,anytime_meals,medium,Simple Greek Salad
gpt_5_5__reasoning_medium,gpt_5_5__reasoning_medium.jsonl,5,0,5,0.027999999999999997,20.0,breakfast,medium,
gpt_5_5__reasoning_medium,gpt_5_5__reasoning_medium.jsonl,5,0,5,0.018000000000000002,0.0,desserts,medium,
gpt_5_5__reasoning_medium,gpt_5_5__reasoning_medium.jsonl,5,0,5,0.092,0.0,snacks,medium,
gpt_5_5_pro__reasoning_high,gpt_5_5_pro__reasoning_high.jsonl,0,11,11,,,anytime_meals,high,Sesame-Ginger Turkey Meatballs; Chicken and Broccoli Piccata; Chicken Fajitas with Lime Sauce; One-Pot Beef & Mushroom Lasagna; Pork Tenderloin with Dijon Gravy; Fish Tacos with Crunchy Slaw; Chicken Sausage Garden Pasta; Roasted Cauliflower Power Salad; Simple Greek Salad; Apple-Celery Chicken Salad; Harvest Crunch Kale & Chicken Salad
gpt_5_5_pro__reasoning_high,gpt_5_5_pro__reasoning_high.jsonl,0,5,5,,,breakfast,high,"Scrambled Egg & Black Bean Burritos; Cranberry Carrot Muffins; Blueberry Banana Pancakes; Cheesy Egg, Bacon & Broccoli Muffins; Glorious Green Smoothie Bowl"
gpt_5_5_pro__reasoning_high,gpt_5_5_pro__reasoning_high.jsonl,0,5,5,,,desserts,high,Citrus-Berry Ricotta Parfaits; Crispy Rice Cereal Treats; Carob Chip Cranberry Cookies; Pumpkin Cinnamon Bars; Carob Cupcakes with Cream Cheese Frosting
gpt_5_5_pro__reasoning_high,gpt_5_5_pro__reasoning_high.jsonl,0,5,5,,,snacks,high,Rice Cakes with Peanut Butter and Strawberries; Avocado Toast with Feta; Trail Mix Snack; Almond Butter Apple Snack; Hummus with Bell Pepper
