model_name,model_file,reasoning_level,recipe_index,recipe_type,recipe_name,predicted_copper_mg,ground_truth_copper_mg,signed_error,absolute_error,relative_error_percent,success,cluster_id,pca_x,pca_y,word_count,paragraph_count,sentence_count,bullet_count,numbered_step_count,json_block_present,usda_reference_count,uncertainty_marker_count,correction_phrase_count,refinement_step_count,ingredient_count,ingredient_mentioned_count,explicit_ingredient_estimate_count,ingredient_coverage_percent,skipped_or_negligible_count,grouping_marker_count,per_100g_count,gram_conversion_count,portion_based_count,division_per_serving_count,sum_statement_count,arithmetic_expression_count,high_copper_reference_count,low_copper_reference_count,estimated_numeric_mg_count,calculation_density,coverage_gap_count,complexity_response_ratio,overestimate_indicator,underestimate_indicator
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,2,breakfast,Blueberry Banana Pancakes,0.21,0.17,0.03999999999999998,0.03999999999999998,23.52941176470587,True,-1,-13.449524087661798,-1.524261485712758,376,18,12,42,11,1,0,4,0,0,11,11,8,72.72727272727273,4,0,5,15,24,12,5,22,0,4,31,0.05851063829787234,3,0.7272727272727273,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,3,breakfast,"Cheesy Egg, Bacon & Broccoli Muffins",0.15,0.08,0.06999999999999999,0.06999999999999999,87.49999999999999,True,-1,-5.086237014422233,0.5704919088986143,196,12,7,18,6,1,1,4,0,0,10,6,4,40.0,0,0,0,0,10,4,9,5,0,0,15,0.025510204081632654,6,0.4,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,4,breakfast,Glorious Green Smoothie Bowl,0.15,0.17,-0.020000000000000018,0.020000000000000018,11.764705882352951,True,5,2.1507325702668245,0.4186815282973184,13,1,0,0,0,1,0,0,0,0,6,0,0,0.0,0,0,0,0,2,0,1,0,0,0,0,0.0,6,0.0,0,1
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,5,anytime_meals,Sesame-Ginger Turkey Meatballs,0.21,0.04,0.16999999999999998,0.16999999999999998,424.9999999999999,True,-1,-7.726979746870531,-1.9921349695800699,273,6,2,17,0,1,0,4,0,0,14,12,9,64.28571428571429,2,1,1,15,10,7,5,12,1,2,19,0.04395604395604396,5,0.6428571428571429,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,6,anytime_meals,Chicken and Broccoli Piccata,0.11,0.13,-0.020000000000000004,0.020000000000000004,15.384615384615389,True,-1,-8.957317066071031,-3.2300196770356195,262,12,3,11,0,1,2,9,0,0,14,14,7,50.0,3,2,10,20,7,10,8,6,0,3,18,0.022900763358778626,7,0.5,0,1
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,7,anytime_meals,Chicken Fajitas with Lime Sauce,0.37,0.12,0.25,0.25,208.33333333333334,True,-1,-10.162283806972068,-5.940005398672074,385,27,2,18,0,1,0,3,0,0,18,18,0,0.0,4,0,6,29,18,8,6,17,0,4,30,0.04415584415584416,18,0.0,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,8,anytime_meals,One-Pot Beef & Mushroom Lasagna,0.32,0.09,0.23,0.23,255.55555555555557,True,-1,-9.64999721821848,-5.330111716819654,302,14,8,24,6,1,0,3,0,0,13,12,2,15.384615384615385,1,2,13,25,12,14,9,9,0,1,22,0.029801324503311258,11,0.15384615384615385,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,9,anytime_meals,Pork Tenderloin with Dijon Gravy,0.14,0.14,0.0,0.0,0.0,True,-1,-8.84435738588414,-0.5620240655739847,339,8,1,10,0,1,0,13,0,0,10,10,10,100.0,4,0,8,25,15,8,5,6,0,4,20,0.017699115044247787,0,1.0,0,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,10,anytime_meals,Fish Tacos with Crunchy Slaw,0.2,0.14,0.06,0.06,42.85714285714285,True,-1,-10.524370360335665,-6.008444619639565,337,13,10,33,6,1,0,6,0,0,17,7,6,35.294117647058826,2,0,14,28,11,18,3,9,1,2,23,0.026706231454005934,11,0.35294117647058826,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,11,anytime_meals,Chicken Sausage Garden Pasta,0.36,0.04,0.32,0.32,800.0,True,-1,-8.970330855322997,-4.820200873480024,313,17,1,9,0,1,0,5,0,0,10,9,1,10.0,1,0,16,33,13,12,14,9,0,1,28,0.02875399361022364,9,0.1,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,12,anytime_meals,Roasted Cauliflower Power Salad,0.655,0.12,0.535,0.535,445.83333333333337,True,-1,-7.816014242848205,-1.579385476843959,227,5,1,11,0,1,1,4,0,0,18,18,10,55.55555555555556,3,0,5,15,14,8,4,12,0,3,19,0.05286343612334802,8,0.5555555555555556,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,13,anytime_meals,Simple Greek Salad,0.225,0.12,0.10500000000000001,0.10500000000000001,87.50000000000001,True,-1,-4.194824400184833,1.0075410930187403,117,3,0,10,0,1,0,2,0,0,16,16,12,75.0,2,0,0,0,10,5,2,4,0,2,10,0.03418803418803419,4,0.75,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,14,anytime_meals,Apple-Celery Chicken Salad,0.071,0.1,-0.029000000000000012,0.029000000000000012,29.00000000000001,True,-1,-6.972138223838223,-0.289028838974474,211,6,0,10,0,1,0,3,0,0,11,11,9,81.81818181818183,3,0,7,16,9,6,4,12,0,3,18,0.05687203791469194,2,0.8181818181818182,0,1
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,15,anytime_meals,Harvest Crunch Kale & Chicken Salad,0.39,0.19,0.2,0.2,105.26315789473684,True,-1,-6.998899898217893,-1.4314773192872974,207,5,1,9,0,1,0,4,0,0,15,15,8,53.333333333333336,2,0,6,12,13,7,11,9,0,2,16,0.043478260869565216,7,0.5333333333333333,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,16,desserts,Citrus-Berry Ricotta Parfaits,0.055,0.1,-0.045000000000000005,0.045000000000000005,45.0,True,-1,-8.701625733564615,-1.0760429544761367,286,12,8,20,6,1,0,6,0,0,6,6,5,83.33333333333334,0,0,14,26,10,11,9,6,0,0,23,0.02097902097902098,1,0.8333333333333334,0,1
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,17,desserts,Crispy Rice Cereal Treats,0.011,0.02,-0.009000000000000001,0.009000000000000001,45.00000000000001,True,-1,-8.42959097877746,0.13206705504061592,255,12,7,22,6,1,0,5,0,0,6,6,4,66.66666666666666,2,0,4,9,19,14,4,15,0,2,14,0.058823529411764705,2,0.6666666666666666,0,1
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,18,desserts,Carob Chip Cranberry Cookies,0.039,0.03,0.009000000000000001,0.009000000000000001,30.000000000000004,True,-1,-8.541297645698416,-2.054245316407368,228,5,1,12,0,1,0,4,0,0,12,12,7,58.333333333333336,6,0,6,17,17,10,4,14,0,6,14,0.06140350877192982,5,0.5833333333333334,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,19,desserts,Pumpkin Cinnamon Bars,0.057,0.06,-0.0029999999999999957,0.0029999999999999957,4.999999999999993,True,-1,-11.654131326042378,-4.762966365035608,302,18,13,28,12,1,0,3,0,0,12,12,4,33.33333333333333,8,0,6,20,16,12,8,7,0,8,22,0.023178807947019868,8,0.3333333333333333,0,1
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,20,desserts,Carob Cupcakes with Cream Cheese Frosting,0.17,0.03,0.14,0.14,466.6666666666667,True,-1,-12.063427440988914,-1.0616487191126998,259,5,1,15,0,1,1,6,0,0,15,15,15,100.0,8,0,0,0,24,13,6,17,1,8,24,0.06563706563706563,0,1.0,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,21,snacks,Rice Cakes with Peanut Butter and Strawberries,0.67,0.16,0.51,0.51,318.75,True,1,-2.0825717107575445,3.0482850665186314,99,5,0,3,0,1,0,6,0,0,3,3,3,100.0,1,0,0,4,5,1,4,2,0,1,6,0.020202020202020204,0,1.0,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,22,snacks,Avocado Toast with Feta,0.15,0.23,-0.08000000000000002,0.08000000000000002,34.78260869565218,True,1,-1.2748108152409001,3.055480664599385,57,4,1,3,0,1,0,4,0,0,3,3,3,100.0,1,0,0,3,3,2,2,1,0,1,4,0.017543859649122806,0,1.0,0,1
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,23,snacks,Trail Mix Snack,0.37,0.1,0.27,0.27,270.0,True,1,-2.3661124174562795,3.562402376594111,88,5,1,4,0,1,0,2,0,0,4,4,4,100.0,0,0,0,0,8,3,2,5,0,0,6,0.056818181818181816,0,1.0,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,24,snacks,Almond Butter Apple Snack,0.35,0.14,0.20999999999999996,0.20999999999999996,149.99999999999994,True,1,-0.9119820527864826,3.6316092094096613,63,5,0,2,0,1,0,6,0,0,2,2,2,100.0,0,0,0,0,5,1,2,1,0,0,4,0.015873015873015872,0,1.0,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,25,snacks,Hummus with Bell Pepper,0.205,0.14,0.06499999999999997,0.06499999999999997,46.42857142857141,True,1,-1.3775198713030445,3.1654714233377668,99,5,4,2,0,1,0,7,0,0,2,2,2,100.0,0,0,2,2,4,2,2,0,0,0,8,0.0,0,1.0,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,1,breakfast,Cranberry Carrot Muffins,0.068,0.06,0.008000000000000007,0.008000000000000007,13.333333333333346,True,-1,-13.327628259122958,-1.6597284788786706,299,19,14,34,13,1,1,6,0,0,15,15,11,73.33333333333333,5,0,1,23,19,12,4,16,0,5,26,0.05351170568561873,4,0.7333333333333333,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,0,breakfast,Scrambled Egg & Black Bean Burritos,0.26,0.15,0.11000000000000001,0.11000000000000001,73.33333333333336,True,21,2.073378995385724,-0.43028148195128424,14,1,0,0,0,1,0,0,0,0,11,1,0,0.0,0,0,0,0,2,0,1,0,0,0,0,0.0,11,0.0,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,1,breakfast,Cranberry Carrot Muffins,0.14,0.06,0.08000000000000002,0.08000000000000002,133.33333333333337,True,-1,-7.5694466181905105,-0.09654531378199593,185,9,2,12,0,1,0,6,0,0,15,15,10,66.66666666666666,5,0,0,0,13,9,3,14,0,5,12,0.07567567567567568,5,0.6666666666666666,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,2,breakfast,Blueberry Banana Pancakes,0.22,0.17,0.04999999999999999,0.04999999999999999,29.411764705882344,True,0,-6.049958939816647,1.3359936288781555,163,10,1,10,0,1,0,3,0,0,11,10,8,72.72727272727273,2,0,0,0,13,10,3,13,0,2,11,0.07975460122699386,3,0.7272727272727273,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,3,breakfast,"Cheesy Egg, Bacon & Broccoli Muffins",0.187,0.08,0.107,0.107,133.75,True,-1,-3.798936769569261,1.6604493666852411,190,8,0,12,0,1,0,14,0,0,10,6,6,60.0,0,0,0,0,8,4,3,5,0,0,21,0.02631578947368421,4,0.6,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,4,breakfast,Glorious Green Smoothie Bowl,0.26,0.17,0.09,0.09,52.941176470588225,True,1,-3.522279740681615,3.5127646957007737,126,6,2,6,0,1,0,7,0,0,6,6,6,100.0,0,0,0,0,7,4,2,8,0,0,8,0.06349206349206349,0,1.0,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,5,anytime_meals,Sesame-Ginger Turkey Meatballs,0.1,0.04,0.060000000000000005,0.060000000000000005,150.0,True,18,2.0010769621455626,-0.9865446508356727,13,1,0,0,0,1,0,0,0,0,14,3,0,0.0,0,0,0,0,2,0,1,0,0,0,0,0.0,14,0.0,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,6,anytime_meals,Chicken and Broccoli Piccata,0.142,0.13,0.011999999999999983,0.011999999999999983,9.230769230769218,True,-1,-5.217098368484566,-3.764245580855081,162,10,0,11,0,1,0,3,0,0,14,14,4,28.57142857142857,2,1,4,12,7,8,3,3,1,2,12,0.018518518518518517,10,0.2857142857142857,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,7,anytime_meals,Chicken Fajitas with Lime Sauce,0.1,0.12,-0.01999999999999999,0.01999999999999999,16.66666666666666,True,-1,2.087969756653878,-1.7668624885469022,14,1,0,0,0,1,0,0,0,0,18,4,0,0.0,0,0,0,0,2,0,1,0,0,0,0,0.0,18,0.0,0,1
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,8,anytime_meals,One-Pot Beef & Mushroom Lasagna,0.2,0.09,0.11000000000000001,0.11000000000000001,122.22222222222223,True,19,2.043281222852814,-0.7979061221091528,14,1,0,0,0,1,0,0,0,0,13,2,0,0.0,0,0,0,0,2,0,1,0,0,0,0,0.0,13,0.0,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,9,anytime_meals,Pork Tenderloin with Dijon Gravy,0.29,0.14,0.14999999999999997,0.14999999999999997,107.14285714285711,True,-1,-8.928668015009938,-0.25746610394053643,243,12,14,21,10,1,0,13,0,0,10,10,6,60.0,5,0,0,1,15,8,4,10,0,5,17,0.0411522633744856,4,0.6,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,10,anytime_meals,Fish Tacos with Crunchy Slaw,0.6,0.14,0.45999999999999996,0.45999999999999996,328.5714285714285,True,-1,-1.6303051076394701,-1.603682653938175,98,2,6,6,0,1,0,8,0,0,17,4,3,17.647058823529413,1,1,1,0,5,4,3,2,0,1,5,0.02040816326530612,14,0.17647058823529413,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,11,anytime_meals,Chicken Sausage Garden Pasta,0.485,0.04,0.445,0.445,1112.5,True,-1,-5.676411465547929,-0.04075968580532769,196,9,0,15,0,1,0,2,0,0,10,9,6,60.0,5,0,0,0,14,4,3,7,0,5,18,0.03571428571428571,4,0.6,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,12,anytime_meals,Roasted Cauliflower Power Salad,0.6,0.12,0.48,0.48,400.0,True,22,2.1826639427963186,-1.680786956603664,13,1,0,0,0,1,0,0,0,0,18,1,0,0.0,0,0,0,0,2,0,1,0,0,0,0,0.0,18,0.0,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,13,anytime_meals,Simple Greek Salad,0.1,0.12,-0.01999999999999999,0.01999999999999999,16.66666666666666,True,6,2.2450936745926264,-1.378135034773396,12,1,0,0,0,1,0,0,0,0,16,1,0,0.0,0,0,0,0,2,0,1,0,0,0,0,0.0,16,0.0,0,1
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,14,anytime_meals,Apple-Celery Chicken Salad,0.125,0.1,0.024999999999999994,0.024999999999999994,24.999999999999993,True,-1,-5.313233464017009,1.8427875382349497,144,6,0,9,0,1,0,18,0,0,11,9,8,72.72727272727273,2,0,0,0,10,6,2,10,0,2,10,0.06944444444444445,3,0.7272727272727273,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,15,anytime_meals,Harvest Crunch Kale & Chicken Salad,0.6,0.19,0.41,0.41,215.78947368421052,True,25,2.073629081749048,-1.1552790186300848,14,1,0,0,0,1,0,0,0,0,15,2,0,0.0,0,0,0,0,2,0,1,0,0,0,0,0.0,15,0.0,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,16,desserts,Citrus-Berry Ricotta Parfaits,0.0525,0.1,-0.04750000000000001,0.04750000000000001,47.5,True,-1,-4.331150587829561,-1.2030795391721043,200,12,6,6,6,1,0,8,0,0,6,6,0,0.0,1,0,2,12,8,5,7,5,0,1,15,0.025,6,0.0,0,1
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,17,desserts,Crispy Rice Cereal Treats,0.031,0.02,0.011,0.011,54.99999999999999,True,-1,-3.6216758738527473,1.8833419841818295,109,6,0,6,0,1,0,9,0,0,6,6,4,66.66666666666666,2,0,0,0,10,6,2,6,0,2,7,0.05504587155963303,2,0.6666666666666666,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,18,desserts,Carob Chip Cranberry Cookies,0.02,0.03,-0.009999999999999998,0.009999999999999998,33.33333333333333,True,8,2.181330515526383,-0.6636889049024144,13,1,0,0,0,1,0,0,0,0,12,1,0,0.0,0,0,0,0,2,0,1,0,0,0,0,0.0,12,0.0,0,1
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,19,desserts,Pumpkin Cinnamon Bars,0.078,0.06,0.018000000000000002,0.018000000000000002,30.000000000000004,True,-1,-6.8073729747338065,-3.7991896638171516,172,9,2,16,0,1,0,8,0,0,12,12,4,33.33333333333333,8,0,2,3,7,5,4,4,1,8,14,0.023255813953488372,8,0.3333333333333333,1,0
gpt_4_1_nano,gpt_4_1_nano.jsonl,none,20,desserts,Carob Cupcakes with Cream Cheese Frosting,0.082,0.03,0.052000000000000005,0.052000000000000005,173.33333333333337,True,-1,-6.658768301187711,-0.8958369144027042,198,9,0,19,0,1,0,3,0,0,15,15,9,60.0,6,0,0,0,12,4,3,7,0,6,19,0.03535353535353535,6,0.6,1,0
